match_id,1is_pick,1team,1hero_id,2is_pick,2team,2hero_id,3is_pick,3team,3hero_id,4is_pick,4team,4hero_id,5is_pick,5team,5hero_id,6is_pick,6team,6hero_id,7is_pick,7team,7hero_id,8is_pick,8team,8hero_id,9is_pick,9team,9hero_id,10is_pick,10team,10hero_id,11is_pick,11team,11hero_id,12is_pick,12team,12hero_id,13is_pick,13team,13hero_id,14is_pick,14team,14hero_id,15is_pick,15team,15hero_id,16is_pick,16team,16hero_id,17is_pick,17team,17hero_id,18is_pick,18team,18hero_id,19is_pick,19team,19hero_id,20is_pick,20team,20hero_id,21is_pick,21team,21hero_id,22is_pick,22team,22hero_id
5062554895,1,1,41,1,0,60,1,1,10,1,0,23,1,1,72,1,0,7,1,1,84,1,0,96,1,0,25,1,1,9,1,1,106,1,0,76,1,1,77,1,0,46,1,0,87,1,1,52,1,0,95,1,1,2,1,0,62,1,1,40,1,1,43,1,0,45
5062606664,1,0,25,1,1,41,1,0,23,1,1,19,1,0,52,1,1,79,1,0,97,1,1,57,1,1,3,1,0,106,1,0,76,1,1,8,1,0,74,1,1,54,1,1,72,1,0,86,1,1,107,1,0,44,1,1,85,1,0,93,1,0,16,1,1,7
5062610216,1,1,41,1,0,60,1,1,96,1,0,23,1,1,10,1,0,7,1,1,72,1,0,9,1,0,51,1,1,87,1,1,15,1,0,46,1,1,52,1,0,76,1,0,79,1,1,106,1,0,54,1,1,38,1,0,25,1,1,22,1,1,91,1,0,17
5062673042,1,1,16,1,0,97,1,1,41,1,0,60,1,1,79,1,0,23,1,1,19,1,0,106,1,0,84,1,1,76,1,1,46,1,0,104,1,1,35,1,0,52,1,0,12,1,1,90,1,0,101,1,1,7,1,0,67,1,1,38,1,1,99,1,0,85
5062680040,1,0,23,1,1,41,1,0,96,1,1,60,1,0,25,1,1,10,1,0,9,1,1,52,1,1,79,1,0,84,1,0,106,1,1,45,1,0,76,1,1,72,1,1,16,1,0,54,1,1,44,1,0,22,1,1,19,1,0,74,1,0,65,1,1,17
5062724668,1,1,16,1,0,60,1,1,41,1,0,76,1,1,106,1,0,90,1,1,84,1,0,97,1,0,23,1,1,93,1,1,44,1,0,15,1,1,79,1,0,98,1,0,5,1,1,9,1,0,8,1,1,104,1,0,19,1,1,38,1,1,25,1,0,85
5062756256,1,0,23,1,1,41,1,0,96,1,1,60,1,0,25,1,1,10,1,0,9,1,1,84,1,1,72,1,0,51,1,0,106,1,1,15,1,0,76,1,1,54,1,1,86,1,0,79,1,1,57,1,0,52,1,1,93,1,0,17,1,0,95,1,1,12
5062773143,1,1,16,1,0,60,1,1,41,1,0,76,1,1,106,1,0,90,1,1,23,1,0,97,1,0,44,1,1,79,1,1,85,1,0,15,1,1,104,1,0,99,1,0,9,1,1,19,1,0,2,1,1,67,1,0,98,1,1,111,1,1,65,1,0,86
5062802241,1,1,41,1,0,60,1,1,84,1,0,23,1,1,111,1,0,7,1,1,96,1,0,9,1,0,79,1,1,25,1,1,54,1,0,106,1,1,51,1,0,10,1,0,72,1,1,30,1,0,38,1,1,81,1,0,17,1,1,52,1,1,46,1,0,15
5062854587,1,1,16,1,0,76,1,1,106,1,0,60,1,1,97,1,0,23,1,1,41,1,0,19,1,0,112,1,1,84,1,1,38,1,0,57,1,1,67,1,0,101,1,0,83,1,1,110,1,0,99,1,1,47,1,0,104,1,1,86,1,1,96,1,0,72
5062887155,1,0,23,1,1,41,1,0,96,1,1,60,1,0,25,1,1,9,1,0,7,1,1,10,1,1,111,1,0,79,1,0,106,1,1,76,1,0,16,1,1,77,1,1,86,1,0,52,1,1,19,1,0,95,1,1,38,1,0,59,1,0,17,1,1,13
5062919966,1,0,52,1,1,57,1,0,85,1,1,23,1,0,19,1,1,41,1,0,102,1,1,72,1,1,86,1,0,7,1,0,15,1,1,54,1,0,76,1,1,106,1,1,84,1,0,68,1,1,96,1,0,42,1,1,50,1,0,39,1,0,114,1,1,47
5062969656,1,0,23,1,1,60,1,0,19,1,1,41,1,0,10,1,1,9,1,0,96,1,1,25,1,1,16,1,0,86,1,0,106,1,1,79,1,0,74,1,1,15,1,1,72,1,0,54,1,1,3,1,0,87,1,1,17,1,0,113,1,0,40,1,1,12
5062985425,1,0,79,1,1,86,1,0,90,1,1,84,1,0,112,1,1,41,1,0,72,1,1,19,1,1,102,1,0,85,1,0,9,1,1,76,1,0,52,1,1,57,1,1,25,1,0,26,1,1,4,1,0,17,1,1,98,1,0,20,1,0,7,1,1,27
5063038875,1,0,57,1,1,85,1,0,102,1,1,41,1,0,72,1,1,23,1,0,19,1,1,52,1,1,79,1,0,30,1,0,16,1,1,99,1,0,54,1,1,75,1,1,96,1,0,106,1,1,42,1,0,29,1,1,74,1,0,76,1,0,15,1,1,39
5063080991,1,0,90,1,1,86,1,0,112,1,1,41,1,0,102,1,1,84,1,0,72,1,1,79,1,1,9,1,0,104,1,0,4,1,1,85,1,0,23,1,1,76,1,1,42,1,0,83,1,1,57,1,0,25,1,1,89,1,0,39,1,0,35,1,1,106
5063207905,1,1,85,1,0,102,1,1,97,1,0,23,1,1,52,1,0,79,1,1,41,1,0,57,1,0,86,1,1,68,1,1,76,1,0,22,1,1,89,1,0,75,1,0,106,1,1,111,1,0,5,1,1,60,1,0,36,1,1,81,1,1,114,1,0,82
5063210591,1,0,9,1,1,84,1,0,102,1,1,90,1,0,79,1,1,41,1,0,72,1,1,57,1,1,86,1,0,85,1,0,73,1,1,23,1,0,4,1,1,96,1,1,121,1,0,119,1,1,8,1,0,2,1,1,15,1,0,76,1,0,93,1,1,47
