match_id,radiant_win,duration
5115031896,1,2069
4865407245,0,2524
4889341660,0,2151
5050335216,1,2484
4860032461,1,1958
4890925224,1,3118
5055466928,0,1224
4969568760,0,2794
4898286553,0,1399
5057409118,0,1947
5124574017,1,2307
4889635707,1,1637
4971503549,1,2681
4870369380,1,1902
5057306239,1,1583
5057933901,1,2207
4841677189,0,2041
5114995152,0,3048
4898481037,1,5492
4866434168,0,2415
4844267214,0,2079
4899405483,0,2370
4969247132,1,2118
5057710883,1,1732
4890534860,1,3034
4891494163,1,4046
5050337379,0,3162
5058280050,1,1151
4897840279,1,3357
5060190446,1,1728
5106244864,0,1744
5061565014,0,2362
4897255057,1,4084
5115154464,0,2188
4892030631,1,2136
4890306510,0,2573
5057762420,0,2403
4889995626,0,2528
4968053464,1,1179
5059644270,0,1260
4889881001,1,1461
4896782830,1,2138
4969823336,0,2081
5063564477,1,2329
4970925304,0,2256
5057948796,1,1324
4969357844,1,2355
5120270421,0,4232
4892243619,1,2510
4897799006,0,2844
5058681775,1,2064
4890149021,1,2552
5055289495,0,1948
4986260666,0,1945
5057188466,1,2840
4857862981,0,1435
5050337869,0,806
4840900564,1,2272
4900437098,0,3853
4890891138,1,2196
4898778768,0,2085
4896878842,1,2247
4860268240,0,1826
5057793436,1,2412
5055732296,1,3339
5062969656,0,2814
5055148584,1,1459
5116401833,1,1772
4889414157,1,2468
5124208589,0,3828
5057197247,0,2415
5056733056,1,1995
4971185236,1,1195
4980541717,0,2530
4901517396,1,3266
4891888089,0,2876
5063735317,1,2023
4983550247,1,1312
4971147140,0,1996
5116187991,0,3150
4890704361,1,3071
5058865047,0,1745
4860113255,0,1901
5058033110,1,2554
5114528337,1,1065
5058757821,0,1613
4837494648,1,1701
5057696126,0,1928
5061504031,0,1377
5105068348,0,2443
4893390956,1,2469
5106422522,0,5100
4901799568,1,1820
5057770540,0,2948
5114636203,1,3778
5115284807,1,3165
4967689210,1,2185
4899277798,1,2261
4896489852,0,1663
4968447861,1,2169
4866272888,0,2092
4860085404,0,3761
5058661206,0,2614
5062209230,1,2373
4894322762,0,3372
5050430233,0,1856
5057791510,1,2842
4895004631,1,1825
4897082996,0,3780
5057408650,0,2408
4982005618,1,2059
5062209854,1,1358
4888772755,0,3424
5056541930,0,2362
4896898794,1,3614
5056196508,0,1681
5059294520,0,1472
4864131645,1,2090
4969351370,1,1719
4904218149,0,1956
4891379575,1,1570
5124152529,1,1722
5057965295,1,1878
4973040677,0,4195
5056539942,0,2267
5108174507,0,2516
4901925673,0,1847
4973348952,1,2312
4971157392,1,4190
5116479685,1,1917
5055525745,1,3404
4898025525,1,1473
4969185780,1,2799
5055301462,1,1944
4903974414,0,2495
5059500882,0,2248
5057130508,1,1719
5062269766,1,2142
4894168276,0,1960
5057939248,0,3413
5057889836,1,899
4858176945,0,1796
5056220060,0,2824
4969402562,0,3594
4860499175,0,2334
4890591079,0,1861
5058780774,0,1923
5057682440,1,1965
5106702072,1,2079
4898695323,0,2461
5056151322,0,2635
5056798735,1,3650
5055468536,1,1880
5052077605,0,2551
4839981142,1,2726
4859568866,1,2089
4892739831,1,1238
4891495610,1,2840
5058268816,0,1269
5057530479,1,1684
5052077838,1,1386
5055882571,0,2635
5058257363,1,929
4862639921,1,2482
4902122478,0,2877
5107875248,0,2487
4981028582,1,1674
4861467475,1,3569
4901646019,0,1659
5052011482,1,3010
5056378983,0,3389
4902056634,0,4156
5106538875,0,2258
4890975618,0,2675
4892339816,1,1993
4893349765,1,3181
5050421263,0,1990
4967652141,1,1310
4859847622,1,3208
4891159111,0,1543
5057900677,1,3094
4899105947,1,1945
5114986392,1,2185
5058246572,0,1983
5060839324,0,1532
4970976863,0,1781
4838510531,1,3234
5061652017,0,1948
5061209315,0,2269
4902464697,1,2356
4971293020,1,2555
4980123889,0,2428
5058028234,0,2545
4972913573,1,1430
5117781910,0,1831
4864506324,1,3148
4843389725,0,2312
4864333508,0,3103
5060888811,0,2052
5056590393,1,1811
5115054606,0,1541
5058102232,0,1651
4898062038,0,1703
4844103057,1,1906
5050535847,0,2182
5059030123,1,3120
5057068329,1,1799
4858022660,0,1530
4835239574,0,1537
5057881723,0,1516
5106809711,1,2411
